date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:03:41	185757/185757	---MCZ	200	added ('OK')	text/html	etag:%22790n4a3zna3z84%22	https://engagement-integration.de/news	C:/Mes%20Sites%20Web/engament/engagement-integration.de/news.html	(from https://engagement-integration.de/)
12:03:42	182671/182671	---MCZ	200	added ('OK')	text/html	etag:%22spx90k6ikp3wxi%22	https://engagement-integration.de/contact	C:/Mes%20Sites%20Web/engament/engagement-integration.de/contact.html	(from https://engagement-integration.de/)
12:03:43	546582/546582	---M--	200	added ('OK')	image/png	etag:c0stmhdVV2y9CXVRn6bOpdiNJ2xehHcj6DewJe4XnVY=	https://engagement-integration.de/_next/image?url=%2Fassets%2Fimages%2Fabout-5.png&w=640&q=75	C:/Mes%20Sites%20Web/engament/engagement-integration.de/_next/about-597d9.png	(from https://engagement-integration.de/)
12:03:44	546582/546582	---M--	200	added ('OK')	image/png	etag:c0stmhdVV2y9CXVRn6bOpdiNJ2xehHcj6DewJe4XnVY=	https://engagement-integration.de/_next/image?url=%2Fassets%2Fimages%2Fabout-5.png&w=1080&q=75	C:/Mes%20Sites%20Web/engament/engagement-integration.de/_next/about-5e0ed.png	(from https://engagement-integration.de/)
12:03:44	19674/19674	---M--	200	added ('OK')	image/png	etag:sVrT8zMbXBves7OuHH0exKpNuUgSU7FWu5qAi7kj2PM=	https://engagement-integration.de/_next/image?url=%2Fassets%2Fimages%2Fabout-6.png&w=128&q=75	C:/Mes%20Sites%20Web/engament/engagement-integration.de/_next/about-60e72.png	(from https://engagement-integration.de/)
12:03:45	71855/71855	---M--	200	added ('OK')	image/png	etag:plievjm5ZFeUX-+wMM1530vtFkapeQSDLfAfDFD43jE=	https://engagement-integration.de/_next/image?url=%2Fassets%2Fimages%2Fabout-6.png&w=256&q=75	C:/Mes%20Sites%20Web/engament/engagement-integration.de/_next/about-6721d.png	(from https://engagement-integration.de/)
12:03:45	19238/19238	---M--	200	added ('OK')	image/png	etag:U66n1wHP6rGI5iW+utVKFvqyfyijGWJmvYxukRtiaTk=	https://engagement-integration.de/_next/image?url=%2Fassets%2Fimages%2Fabout-7.png&w=128&q=75	C:/Mes%20Sites%20Web/engament/engagement-integration.de/_next/about-71b3c.png	(from https://engagement-integration.de/)
12:03:46	66639/66639	---M--	200	added ('OK')	image/png	etag:o8YJTvB2bNgzXn9Q8kN0JwBaeR1UACcYWEcsI2bFS4E=	https://engagement-integration.de/_next/image?url=%2Fassets%2Fimages%2Fabout-7.png&w=256&q=75	C:/Mes%20Sites%20Web/engament/engagement-integration.de/_next/about-7a915.png	(from https://engagement-integration.de/)
12:03:47	494762/494762	---M--	200	added ('OK')	image/png	etag:b1wTqAQoPkw5ni7EJXebSsmAINwHFauh4IJOBzYn6e8=	https://engagement-integration.de/_next/image?url=%2Fassets%2Fimages%2Fprojet-8.png&w=640&q=75	C:/Mes%20Sites%20Web/engament/engagement-integration.de/_next/projet-859ae.png	(from https://engagement-integration.de/)
12:03:48	1183283/1183283	---M--	200	added ('OK')	image/png	etag:WlWUwmv1jOBDMIjCXhTSIooJXFavbA-o9L3jDbfLNf4=	https://engagement-integration.de/_next/image?url=%2Fassets%2Fimages%2Fprojet-8.png&w=1080&q=75	C:/Mes%20Sites%20Web/engament/engagement-integration.de/_next/projet-88994.png	(from https://engagement-integration.de/)
